idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
495,-79.85211,37.9701,0.0,0.0,0.90116,1.0,0.0,0.64826,0.64826,0.64826,0.0,0.64826,0.13081,0.61047,0.45298,0.4508
548,-79.85214,37.97731,0.0,0.98256,0.69186,1.0,0.0,0.64826,0.64826,0.64826,0.0,0.64826,0.09884,0.98547,0.51788,0.52828
575,-79.60624,37.9778,0.35465,0.0,0.86047,0.64535,0.35465,0.0,0.0,0.0,0.35465,0.0,0.53198,0.8343,0.49237,0.49072
576,-79.59713,37.9778,0.35465,0.85465,0.84884,0.64535,0.35465,0.0,0.0,0.0,0.35465,0.0,0.59884,0.81686,0.5625,0.5738
628,-79.60625,37.985,0.35465,0.0,0.71221,0.64535,0.35465,0.0,0.0,0.0,0.35465,0.0,0.53198,0.90116,0.47718,0.47506
706,-79.83403,37.99899,0.0,0.0,0.88953,1.0,0.0,0.64826,0.64826,0.64826,0.0,0.64826,0.06686,0.78488,0.44113,0.43548
758,-79.83406,38.0062,0.0,0.98837,0.75581,1.0,0.0,0.64826,0.64826,0.64826,0.0,0.64826,0.05814,0.9593,0.50923,0.51777
1020,-79.78865,38.04237,0.0,0.99709,0.80523,1.0,0.0,0.64826,0.64826,0.64826,0.0,0.64826,0.36047,0.77035,0.56926,0.58425
1070,-79.78868,38.04958,0.35465,0.85465,0.71802,0.64535,0.35465,0.0,0.0,0.0,0.35465,0.0,0.37791,0.65116,0.40385,0.39506
1071,-79.77956,38.0496,0.0,0.88953,0.78488,1.0,0.0,0.64826,0.64826,0.64826,0.0,0.64826,0.27616,0.97965,0.5516,0.56209
1080,-79.69751,38.04977,0.35465,0.9593,0.55814,0.64535,0.35465,0.0,0.0,0.0,0.35465,0.0,0.26163,0.64826,0.37834,0.3714
1122,-79.77959,38.05681,0.35465,0.85465,0.71802,0.64535,0.35465,0.0,0.0,0.0,0.35465,0.0,0.37791,0.65116,0.40385,0.39506
1369,-79.88919,38.09254,0.35465,0.0,0.0,0.64535,0.35465,0.0,0.0,0.0,0.35465,0.0,1.0,0.0,0.4016,0.40591
1419,-79.88922,38.09975,0.0,0.0,0.43023,1.0,0.0,0.64826,0.64826,0.64826,0.0,0.64826,0.63663,0.82558,0.52086,0.52769
2020,-79.6522,38.1796,0.35465,0.95058,0.47674,0.64535,0.35465,0.0,0.0,0.0,0.35465,0.0,0.40698,0.92442,0.39862,0.3894
