geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,vbm_blk_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,turnout_blk_2016,tot_elignonreg_prc_final_dup_flag_x,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,vbm_blk_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020,turnout_blk_2020,tot_elignonreg_prc_final_dup_flag_y
51059415100,59.0,0.06762,1.0,0.99213,0.0,0.02461,1.0,0.05115,1.0,0.08361,1.0,0.04967,1.0,0.04029,1.0,0.14156,0.0,0.0,1.0,0.74503,0.0,0.04525,1.0,0.0,1.0,0.0,1.0,0.01766,1.0,0.01904,1.0,0.04774,1.0,0.0,1.0,0.00717,1.0,0.01214,1.0,0.0,1.0,0.01711,1.0,0.01352,1.0,0.00352,0.0,0.0,1.0,0.00189,0.0036,3642.0,2.36127,1542.38733,0.22009,0.11532,0.09589,0.42522,0.20335,0.74008,0.7528,0.78528,0.63412,0.50407,0.0,0.34442,0.27752,0.42315,0.47333,0.28625,0.77244,0.75412,0.73525,0.6819,0.58737,0.0
51059415200,59.0,0.03058,1.0,0.94258,0.0,0.10729,0.0,0.0872,1.0,0.06631,1.0,0.06001,1.0,0.05239,1.0,0.04808,0.0,0.0,1.0,0.79642,0.0,0.00796,1.0,0.00332,1.0,0.0,1.0,0.00597,1.0,0.00332,1.0,0.01592,1.0,0.00365,1.0,0.00232,1.0,0.00796,1.0,0.0,1.0,0.0,1.0,0.00431,1.0,0.0033,0.0,0.0,1.0,0.00192,0.00342,3218.0,5.03871,638.65513,0.23055,0.20685,0.34195,0.40637,0.18934,0.72699,0.70278,0.65169,0.60628,0.6289,0.0,0.38876,0.35657,0.4112,0.54129,0.29125,0.77016,0.68201,0.71621,0.66734,0.65816,0.0
51059415300,59.0,0.10501,0.0,0.86909,0.0,0.05983,0.0,0.02604,1.0,0.08546,1.0,0.07686,0.0,0.11934,0.0,0.24273,0.0,0.00455,1.0,0.51454,0.0,0.17143,0.0,0.01163,1.0,0.0,1.0,0.02933,1.0,0.01795,1.0,0.01239,1.0,0.00657,1.0,0.0086,1.0,0.02402,1.0,0.00278,1.0,0.0086,1.0,0.00632,1.0,0.00377,0.0,0.07057,0.0,0.00042,0.00329,3922.0,2.13893,1833.63034,0.24223,0.10919,0.20065,0.32539,0.23618,0.68811,0.6351,0.66008,0.64709,0.56824,0.0,0.36048,0.23247,0.3847,0.42356,0.26488,0.7317,0.63752,0.64585,0.65825,0.60267,0.0
51059415401,59.0,0.29025,0.0,0.91324,0.0,0.0237,1.0,0.19146,0.0,0.06192,1.0,0.05879,0.0,0.21791,0.0,0.32941,0.0,0.0,1.0,0.38742,0.0,0.25044,0.0,0.0,1.0,0.0,1.0,0.02567,1.0,0.02881,1.0,0.0245,1.0,0.04135,0.0,0.0,1.0,0.01176,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00353,0.0,0.0,1.0,0.00114,0.00382,5359.0,1.602,3345.19288,0.23512,0.10508,0.14892,0.20787,0.21312,0.60671,0.60804,0.65639,0.63971,0.54259,0.0,0.32109,0.21228,0.35602,0.31887,0.26424,0.66555,0.61698,0.62612,0.63753,0.58314,0.0
51059415402,59.0,0.07686,1.0,0.97193,0.0,0.0701,1.0,0.03426,1.0,0.04113,1.0,0.07127,0.0,0.14997,0.0,0.1641,0.0,0.0,1.0,0.58479,0.0,0.06033,1.0,0.00464,1.0,0.0,1.0,0.01293,1.0,0.0,1.0,0.03913,1.0,0.00697,1.0,0.0,1.0,0.01226,1.0,0.00398,1.0,0.00331,1.0,0.02916,1.0,0.00301,0.0,0.02875,0.0,0.00064,0.00289,2805.0,2.39089,1173.20256,0.27676,0.15054,0.17949,0.52941,0.26136,0.73755,0.69403,0.69643,0.64151,0.64234,0.0,0.38466,0.2377,0.5,0.49524,0.2732,0.79946,0.74847,0.83761,0.73427,0.6831,0.0
51059415500,59.0,0.06159,0.0,0.8485,0.0,0.06946,0.0,0.15532,0.0,0.04695,1.0,0.02883,1.0,0.21603,0.0,0.07065,0.0,0.0,1.0,0.63496,0.0,0.01661,1.0,0.00423,1.0,0.0,1.0,0.00634,1.0,0.00136,1.0,0.03336,1.0,0.00785,1.0,0.00423,1.0,0.00045,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00562,0.0,0.0,1.0,0.00405,0.00626,6312.0,3.88338,1625.39019,0.29566,0.24289,0.19052,0.43558,0.27036,0.75784,0.71126,0.68387,0.69921,0.62601,0.0,0.34317,0.25583,0.3749,0.48109,0.2502,0.78515,0.71508,0.70392,0.70545,0.64218,0.0
51059415600,59.0,0.0335,1.0,0.99021,0.0,0.09797,0.0,0.01537,1.0,0.0377,1.0,0.05783,0.0,0.00073,1.0,0.04649,0.0,0.0,1.0,0.88433,0.0,0.01318,1.0,0.00512,1.0,0.0,1.0,0.00439,1.0,0.00329,1.0,0.00915,1.0,0.01537,1.0,0.00622,1.0,0.01281,1.0,0.00586,1.0,0.00952,1.0,0.00805,1.0,0.00292,0.0,0.0,1.0,0.0003,0.00292,2754.0,4.56943,602.70036,0.26657,0.17544,0.24009,0.46756,0.3474,0.79477,0.71427,0.69308,0.69417,0.68872,0.0,0.37701,0.32291,0.43767,0.56969,0.32287,0.82558,0.73615,0.74619,0.72115,0.75941,0.0
51059415700,59.0,0.02492,1.0,0.99682,0.0,0.02363,1.0,0.00491,1.0,0.04381,1.0,0.02139,0.0,0.01572,1.0,0.06418,1.0,0.0,1.0,0.87191,0.0,0.00644,1.0,0.0,1.0,0.0,1.0,0.03247,1.0,0.01057,1.0,0.00696,1.0,0.0,1.0,0.0018,1.0,0.00515,1.0,0.00155,1.0,0.00593,1.0,0.0,1.0,0.00356,0.0,0.0,1.0,0.00013,0.00436,4187.0,3.4656,1208.15849,0.25358,0.23786,0.32329,0.53568,0.38462,0.81901,0.83448,0.735,0.60875,0.79894,0.0,0.3424,0.27471,0.40096,0.59944,0.19428,0.84007,0.78382,0.79566,0.75533,0.78807,0.0
51059415800,59.0,0.02158,1.0,0.97677,0.0,0.0349,0.0,0.01889,1.0,0.06044,1.0,0.04235,0.0,0.01531,1.0,0.04612,0.0,0.0,1.0,0.87018,0.0,0.00616,1.0,0.0,1.0,0.0,1.0,0.00199,1.0,0.00239,1.0,0.01153,1.0,0.00199,1.0,0.0,1.0,0.01173,1.0,0.0171,1.0,0.01034,1.0,0.0,1.0,0.00498,0.0,0.0,1.0,0.00055,0.00532,5048.0,3.79952,1328.5881,0.3085,0.33728,0.19186,0.60606,0.41193,0.81,0.76565,0.7076,0.6897,0.87802,0.0,0.36771,0.42162,0.50312,0.60151,0.31719,0.8416,0.77991,0.8108,0.77033,0.80266,0.0
51059415900,59.0,0.06147,1.0,0.97782,0.0,0.04933,1.0,0.07631,0.0,0.05029,1.0,0.09296,0.0,0.03993,1.0,0.08961,0.0,0.00457,1.0,0.70588,0.0,0.05791,1.0,0.00213,1.0,0.00244,1.0,0.00549,1.0,0.01097,1.0,0.01067,1.0,0.03657,1.0,0.00518,1.0,0.00274,1.0,0.00975,1.0,0.00274,1.0,0.0,1.0,0.00337,0.0,0.0,1.0,0.0015,0.00342,3219.0,4.87071,660.88888,0.24691,0.20561,0.12557,0.47634,0.25926,0.78806,0.7361,0.72677,0.62209,0.76172,0.0,0.35901,0.31814,0.35486,0.51813,0.36355,0.80948,0.77481,0.73133,0.69992,0.81711,0.0
