,osm_id,code,fclass,name,lon,lat
0,356583019,2005,post_office,Pearisburg Post Office,-80.7359,37.32818
1,367981066,2009,courthouse,Giles County Courthouse,-80.73509,37.32714
2,367984283,2002,fire_station,Meadows Of Dan Volunteer Fire Department Company 25,-80.67972,37.2325
3,367984376,2002,fire_station,Christainsburg Fire and Rescue,-80.69639,37.21806
4,367984471,2002,fire_station,Mount Pleasant Fire and Rescue,-80.51806,37.40639
5,367984541,2002,fire_station,Clearbrook Fire and Rescue,-80.58444,37.33778
6,367984552,2002,fire_station,Fairlawn Volunteer Fire Department,-80.97861,37.25778
7,367984888,2002,fire_station,Fork Mountain Volunteer Fire Department and Rescue Squad,-80.50944,37.41611
8,367987630,2001,police,Christiansburg Police Department,-80.69,37.21722
9,617259835,2005,post_office,Newport Post Office,-80.49808,37.29049
10,761862498,2005,post_office,Eggleston Post Office,-80.61976,37.28769
11,761862499,2002,fire_station,Eggleston Volunteer Fire Department,-80.62736,37.28856
12,2288265968,2005,post_office,United States Post Office,-80.63702,37.3215
