name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat,V11
Abner Baptist Church,"15143 ABNER CHURCH RD. GLEN ALLEN, VA 23059",False,701 - FARRINGTON - 0000,False,-77.61786,37.7218,
Ashland Fire Station #1,"501 ARCHIE CANNON DR. ASHLAND, VA 23005",False,105 - BERKLEY - 0000,False,-77.47105,37.77078,
Ashland Library,"201 S RAILROAD AVE ASHLAND, VA 23005-2081",False,101 - ASHLAND - 0000,False,-77.48122,37.75802,
Atlee High School,"9414 ATLEE STATION RD MECHANICSVILLE, VA 23116-2600",False,304 - ATLEE - 0000,False,-77.41049,37.66461,
Battlefield Elementary School,"5501 MECHANICSVILLE TPKE MECHANICSVILLE, VA 23111-6400",False,401 - BATTLEFIELD - 0000,False,-77.29546,37.62676,
Beaverdam Elementary School,"15485 BEAVERDAM SCHOOL RD BEAVERDAM, VA 23015-1306",False,201 - BEAVERDAM - 0000,False,-77.64229,37.93324,
Chickahominy Fire Station #10,"10414 LEADBETTER RD ASHLAND, VA 23005-3415",False,104 - SLIDING HILL - 0000,False,-77.44221,37.69454,
Chickahominy Middle School,"9450 ATLEE STATION RD MECHANICSVILLE, VA 23116-2600",False,107 - CHICKAHOMINY - 0000,False,-77.41181,37.66617,
Cold Harbor Elementary School,"6740 COLD HARBOR RD MECHANICSVILLE, VA 23111-5303",False,403 - COLD HARBOR - 0000,False,-77.3197,37.59321,
County Administration Building,"7516 COUNTY COMPLEX RD. HANOVER, VA 23069-1530",False,206 - COURTHOUSE - 0000,False,-77.36559,37.76444,
Doswell Ruritan Club,"16433 WASHINGTON HWY DOSWELL, VA 23047",False,202 - BLUNTS - 0000,False,-77.46533,37.8623,
East Hanover Rescue Squad,"8105 WALNUT GROVE RD MECHANICSVILLE, VA 23111-4517",False,405 - PEBBLE CREEK - 0000,False,-77.29964,37.62169,
Eastern Hanover Fire Station,"4428 MECHANICSVILLE TPKE MECHANICSVILLE, VA 23111-6401",False,505 - TOTOPOTOMOY - 0000,False,-77.25806,37.64177,
Elmont Elementary School,"12007 CEDAR LN. ASHLAND, VA 23005-7522",False,704 - ELMONT - 0000,False,-77.50739,37.71472,
Fellowship Center of Black Creek Church,"6229 MCCLELLAN RD MECHANICSVILLE, VA 23111",False,404 - BLACK CREEK - 0000,False,-77.22646,37.57243,
Hanover County Registrar Office,7497 COUNTY COMPLEX RD RM 119 HANOVER VA 23069,True,Locality wide location,False,-77.36736,37.7639,
Hanover High School,"10307 CHAMBERLAYNE RD. MECHANICSVILLE, VA 23116-4002",False,506 - GEORGETOWN - 0000,False,-77.38476,37.68838,
Hanover Parks & Rec/Montpelier,"17205 MOUNTAIN RD. MONTPELIER, VA 23192",False,209 - WEST HANOVER - 0000,False,-77.68828,37.82303,
Kersy Creek Elementary School,"10004 LEARNING LN. MECHANICSVILLE, VA 23116",False,106 - KERSEY CREEK - 0000,False,-77.38926,37.69115,
Laurel Meadow Elementary School,"8248 LEE DAVIS RD. MECHANICSVILLE, VA 23111",False,507 - LAUREL MEADOW - 0000,False,-77.33684,37.62758,
Lee Davis High School,"7052 MECHANICSVILLE TPKE MECHANICSVILLE, VA 23111-3629",False,602 - LEE DAVIS - 0000,False,-77.34052,37.61382,
Mechanicsville Christian Center,"8061 SHADY GROVE RD. MECHANICSVILLE, VA 23111-2258",False,603 - MECHANICSVILLE - 0000,False,-77.37237,37.6185,
Mechanicsville Elementary School,"7425 MECHANICSVILLE ELEM DR. MECHANICSVILLE, VA 23111-1725",False,601 - VILLAGE - 0000,False,-77.37954,37.61126,
Mechanicsville Library,"7461 SHERWOOD CROSSING PL. MECHANICSVILLE, VA 23111",False,604 - HANOVER GROVE - 0000,False,-77.34406,37.61367,
Montpelier Center for Arts and Education,"17205 MOUNTAIN RD. MONTPELIER, VA 23192-2566",False,702 - MONTPELIER - 0000,False,-77.68828,37.82303,
Northside Baptist Church,"7600 STUDLEY RD. MECHANICSVILLE, VA 23116",False,303 - SHADY GROVE - 0000,False,-77.36685,37.65577,
Oak Knoll Middle School,"10295 CHAMBERLAYNE RD. MECHANICSVILLE, VA 23116",False,208 - OAK KNOLL - 0000,False,-77.38385,37.68619,
Patrick Henry High School,"12449 W PATRICK HENRY RD. ASHLAND, VA 23005-3152",False,203 - WILMINGTON PARISH - 0000,False,-77.53422,37.78548,
Patrick Henry High School,"12449 WEST PATRICK HENRY RD. ASHLAND, VA 23005",False,210 - OAK HILL - 0000,False,-77.53422,37.78548,
Pearsons Corner Elementary School,"8290 NEW ASHCAKE RD. MECHANICSVILLE, VA 23116",False,305 - COOL SPRING - 0000,False,-77.38974,37.67781,
Pole Green Elementary School,"8993 POLE GREEN PARK LN. MECHANICSVILLE, VA 23116-5405",False,503 - NEWMAN - 0000,False,-77.30866,37.6399,
Post 9808 VFW Building,"7168 FLAG LN. MECHANICSVILLE, VA 23111-5060",False,406 - BEAVERDAM CREEK - 0000,False,-77.34738,37.59773,
Rockville Library,"16600 POUNCEY TRACT RD. ROCKVILLE, VA 23146",False,703 - ROCKVILLE - 0000,False,-77.67987,37.72625,
Rural Point Elementary School,"7161 STUDLEY RD. MECHANICSVILLE, VA 23116-6514",False,502 - RURAL POINT - 0000,False,-77.33942,37.6651,
Salem Presbyterian Church,"5394 STUDLEY RD. MECHANICSVILLE, VA 23116-6655",False,504 - STUDLEY - 0000,False,-77.29165,37.6762,
