idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
514,-77.33869,37.52315,0.53116,0.92459,0.41629,0.5841,0.93241,0.85661,0.38738,0.30865,0.89725,0.76734,0.53409,0.92186,0.59663,0.58725
518,-77.30249,37.52247,0.38894,0.0,0.0,0.45067,0.53956,0.92635,0.75718,0.23071,0.21996,0.21489,1.0,0.0,0.54029,0.55143
609,-77.34689,37.55215,0.29947,0.0,0.69799,0.31862,0.57843,0.59797,0.44599,0.1471,0.82164,0.88924,0.59328,0.83825,0.52727,0.50004
715,-77.50001,37.58373,0.0211,0.9664,0.0,0.82008,0.64192,0.52061,0.1596,0.26392,0.53917,0.06622,1.0,0.0,0.59194,0.60911
765,-77.58115,37.59952,0.67103,0.0,0.62903,0.87927,0.95253,0.87693,0.88787,0.8488,0.85915,0.82751,0.19789,0.91815,0.56999,0.5413
775,-77.49056,37.59799,0.06798,0.0,0.0,0.33522,0.88767,0.73237,0.97187,0.93299,0.1176,0.75073,1.0,0.0,0.60645,0.61022
811,-77.44507,37.6044,0.01289,0.0,0.91502,0.80895,0.94765,0.79508,0.71225,0.38758,0.91756,0.98203,0.51983,0.46572,0.61597,0.59039
856,-77.56246,37.62084,0.05294,0.85095,0.52667,0.69643,0.0,0.42469,0.96406,0.95976,0.80367,0.42489,0.21489,0.95097,0.49114,0.50098
858,-77.54434,37.62054,0.49443,0.88435,0.47607,0.65247,0.68451,0.47548,0.81422,0.87068,0.70912,0.89588,0.37156,0.94354,0.55487,0.54239
861,-77.51715,37.62008,0.10217,0.98515,0.90369,0.88767,0.0,0.78668,0.98847,0.9918,0.95663,0.85583,0.18539,0.99004,0.65064,0.67333
