osm_id,code,fclass,name,lon,lat
356560765,2082,school,Central Elementary School,-79.39641,36.83875
356560906,2082,school,Climax Elementary School,-79.48669,36.89097
356562106,2082,school,Gretna High School,-79.36867,36.94555
356563555,2082,school,Mount Hermon Elementary School,-79.41197,36.65764
356564065,2082,school,Gretna Middle School,-79.37314,36.946
356565018,2082,school,Renan School,-79.20213,36.97897
356566013,2082,school,Shockoe School,-79.25502,36.82069
356566158,2082,school,Sonans School,-79.31141,36.88542
356593844,2082,school,Chatham High School,-79.39641,36.82625
356593862,2082,school,Faith Christian Academy,-79.30558,37.10236
356593897,2082,school,John L Hurt Elementary School,-79.29725,37.09348
356594005,2082,school,Woodlawn Academy,-79.38836,36.79014
356594100,2082,school,Whitmell Elementary School,-79.52253,36.70625
357798968,2082,school,Pelham Elementary School,-79.47114,36.6218
5339343888,2501,supermarket,Food Lion,-79.36359,36.9494
6630415899,2501,supermarket,Gretna Food Land,-79.36006,36.95386
7249182041,2084,college,Pittsylvania County Schools Adult Education Center,-79.38839,36.76452
