idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
67,-80.11405,37.15481,0.57022,0.78899,0.2837,0.25618,0.0,0.37756,0.05787,0.81581,0.14255,0.10727,0.6789,0.89061,0.48087,0.51892
254,-80.06935,37.19829,0.57022,0.87227,0.37756,0.25618,0.0,0.37756,0.05787,0.81581,0.14255,0.10727,0.17996,0.9379,0.31645,0.33923
267,-79.9522,37.19881,0.78546,0.82922,0.33733,0.73465,0.6055,0.58645,0.50176,0.31687,0.57728,0.18419,0.48977,0.9139,0.43779,0.43166
297,-79.98829,37.20587,0.78546,0.89414,0.64291,0.73465,0.6055,0.58645,0.50176,0.31687,0.57728,0.18419,0.12068,0.99647,0.47229,0.46614
329,-80.01538,37.21296,0.51658,0.69513,0.37544,0.518,0.0,0.52929,0.97953,0.68031,0.04164,0.03599,0.20677,0.51941,0.38259,0.40333
405,-80.00646,37.22742,0.33522,0.98941,0.56316,0.49682,0.96965,0.33874,0.8638,0.95272,0.54622,0.91108,0.23218,0.92167,0.54114,0.51863
407,-79.98843,37.2275,0.33522,0.95766,0.69513,0.49682,0.96965,0.33874,0.8638,0.95272,0.54622,0.91108,0.22936,0.94001,0.60118,0.58635
408,-79.97942,37.22753,0.33522,0.94707,0.0,0.49682,0.96965,0.33874,0.8638,0.95272,0.54622,0.91108,1.0,0.0,0.66484,0.66998
443,-80.00651,37.23463,0.68031,0.97177,0.65561,0.78476,0.0,0.47918,0.63797,0.6302,0.63938,0.05716,0.20183,0.90755,0.43553,0.44707
445,-79.98848,37.2347,0.33522,0.0,0.98589,0.49682,0.96965,0.33874,0.8638,0.95272,0.54622,0.91108,0.23147,0.97742,0.55517,0.52567
450,-79.90734,37.23502,0.12068,0.69513,0.50741,0.44884,0.0,0.64855,0.82569,0.76994,0.8151,0.3451,0.77558,0.75088,0.54088,0.55592
477,-80.03361,37.24171,0.84757,0.0,0.65208,0.17925,0.0,0.0,0.46224,0.23641,0.3211,0.53776,0.07975,0.70078,0.24128,0.23361
479,-80.01558,37.2418,0.68031,0.0,0.7897,0.78476,0.0,0.47918,0.63797,0.6302,0.63938,0.05716,0.40155,0.82851,0.40559,0.41427
602,-79.88047,37.27116,0.45166,0.0,0.73888,0.91743,0.82216,0.79534,0.3204,0.17149,0.93578,0.74594,0.53987,0.62668,0.57122,0.55771
616,-80.14213,37.27721,0.88709,0.78899,0.3585,0.67255,0.44813,0.09457,0.20677,0.05787,0.36062,0.63232,0.33592,0.93225,0.36115,0.34889
619,-80.11506,37.27736,0.88709,0.98236,0.0,0.67255,0.44813,0.09457,0.20677,0.05787,0.36062,0.63232,1.0,0.0,0.49567,0.50777
626,-79.89855,37.2783,0.15879,0.91814,0.48342,1.0,0.88709,0.91814,0.74312,0.47565,0.85321,0.45519,0.74312,0.26817,0.5667,0.55715
627,-79.88953,37.27833,0.45166,0.92661,0.73536,0.91743,0.82216,0.79534,0.3204,0.17149,0.93578,0.74594,0.56175,0.96119,0.62693,0.61924
654,-79.88055,37.28557,0.15879,0.0,0.7403,1.0,0.88709,0.91814,0.74312,0.47565,0.85321,0.45519,0.74312,0.74171,0.54292,0.51622
656,-79.8625,37.28563,0.63938,0.69513,0.55752,0.55893,0.0,0.75441,0.38532,0.27594,0.28017,0.30416,0.61821,0.98447,0.49117,0.51622
657,-79.85348,37.28566,0.63938,0.69513,0.55752,0.55893,0.0,0.75441,0.38532,0.27594,0.28017,0.30416,0.61821,0.98447,0.49117,0.51622
760,-80.07024,37.31363,0.88709,0.90261,0.43896,0.67255,0.44813,0.09457,0.20677,0.05787,0.36062,0.63232,0.46366,0.988,0.40782,0.39725
768,-79.8807,37.31441,0.73042,0.99718,0.46366,0.31122,0.0,0.03952,0.68807,0.42061,0.47424,0.57728,0.57657,0.92802,0.47056,0.47913
799,-80.02516,37.32105,0.53776,0.88144,0.51164,0.10374,0.3578,0.44672,0.6055,0.70148,0.21171,0.87862,0.46295,0.97107,0.47651,0.48387
