geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020
51710000100,710,0.01361,1,0.94152,0,0.04686,1,0.15427,0,0.1229,1,0.01579,1,0.15499,0,0.14857,1,0.00592,1,0.63672,0,0.0,1,0.01431,1,0.0,1,0.01678,1,0.11204,1,0.00543,1,0.0,1,0.0,1,0.00691,1,0.0,1,0.0,1,0.00888,1,0.00864,0,0.12229,0,0.00047,0.01157,2370,0.98321,2410.46851,0.06259,0.04082,0.0,0.06452,0.65251,0.52688,0.625,0.53448,0.20561,0.14754,5e-05,0.24615,0.66835,0.52586,0.25001,0.48507
51710000201,710,0.01869,1,0.90504,0,0.10782,0,0.11083,0,0.08831,1,0.02252,0,0.20844,0,0.07937,0,0.00715,1,0.64212,0,0.00644,1,0.00286,1,0.00644,1,0.04147,1,0.00501,1,0.00465,1,0.0,1,0.00715,1,0.00572,1,0.00286,1,0.0,1,0.00215,1,0.01212,0,0.28326,0,0.00215,0.01221,2857,0.70476,4053.87607,0.06134,0.08199,0.17045,0.08757,0.60989,0.48532,0.53398,0.5174,0.21664,0.18037,0.23902,0.24773,0.64021,0.49466,0.57825,0.44391
51710000202,710,0.01307,1,0.96554,0,0.16448,0,0.07988,0,0.0518,1,0.03552,1,0.13666,0,0.07893,1,0.01135,1,0.68377,0,0.0407,1,0.0,1,0.00765,1,0.01184,1,0.01159,1,0.00518,1,0.0,1,0.00173,1,0.0296,1,0.00419,1,0.0,1,0.0,1,0.01578,0,0.22452,0,0.00121,0.01809,3832,1.30544,2935.41365,0.05852,0.05068,0.09193,0.0968,0.64946,0.52447,0.53394,0.54253,0.21037,0.17681,0.33755,0.22021,0.66581,0.52816,0.5158,0.48088
51710000300,710,0.1061,1,0.89387,0,0.12465,0,0.09538,0,0.08708,1,0.02618,1,0.1893,0,0.17852,0,0.00876,1,0.57486,0,0.11836,1,0.0,1,0.0,1,0.04312,1,0.01092,1,0.00099,1,0.0,1,0.00393,1,0.01852,1,0.00242,1,0.0,1,0.0,1,0.01267,0,0.23344,0,0.00607,0.01361,3139,1.83529,1710.35698,0.06211,0.07333,0.12915,0.0487,0.61464,0.46904,0.6261,0.48393,0.20676,0.2296,0.26596,0.16247,0.62444,0.52265,0.44028,0.42543
51710000400,710,0.06836,1,0.91541,0,0.11623,0,0.11397,0,0.0782,1,0.02129,1,0.20103,0,0.09654,0,0.00541,1,0.63953,0,0.01229,1,0.00939,1,0.01538,1,0.04464,1,0.01219,1,0.00258,1,1e-05,1,0.01282,1,0.00267,1,0.0,1,1e-05,1,2e-05,1,0.01556,0,0.28642,0,0.00198,0.0151,3362,7.58718,443.11571,0.07469,0.02326,0.25,0.0,0.6115,0.52439,0.5,0.44828,0.17514,0.07937,0.28571,0.11268,0.58944,0.5339,0.5,0.4152
51710000500,710,0.03079,1,0.87275,0,0.15983,0,0.1393,0,0.05583,1,0.05298,1,0.24795,0,0.06599,1,0.00374,1,0.61565,0,0.03202,1,1e-05,1,3e-05,1,0.00104,1,0.01326,1,0.01957,1,1e-05,1,0.00158,1,0.02772,1,0.00217,1,1e-05,1,2e-05,1,0.01353,0,0.23655,0,0.00077,0.01447,3216,1.09945,2925.11012,0.06254,0.06291,0.09769,0.02929,0.62778,0.47307,0.66527,0.47709,0.2006,0.23712,0.27374,0.12965,0.62676,0.53486,0.4009,0.42841
51710000600,710,0.03534,1,0.86307,0,0.09721,0,0.17872,0,0.08912,1,0.00877,1,0.4027,0,0.06373,0,3e-05,1,0.51353,0,0.00946,1,0.0,1,0.0,1,0.02315,1,0.01918,1,0.00015,1,0.00193,1,1e-05,1,0.00857,1,2e-05,1,0.0,1,0.0,1,0.01807,0,0.25676,0,0.00059,0.01878,4542,1.24869,3637.41975,0.0593,0.08555,0.16335,0.10049,0.60434,0.49522,0.543,0.53248,0.21795,0.21264,0.26318,0.22696,0.64047,0.50027,0.63473,0.44805
51710000700,710,0.01029,1,0.97676,0,0.10183,0,0.05907,1,0.09923,1,0.00739,1,0.16988,0,0.06294,0,0.0,1,0.73346,0,0.01509,1,0.0,1,0.0,1,0.01638,1,0.02826,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.01245,0,0.25237,0,0.00256,0.01444,2965,1.34529,2203.98834,0.05335,0.03987,0.0,0.15939,0.67617,0.55367,0.69366,0.57736,0.19766,0.1938,0.2848,0.17818,0.69073,0.55196,0.68325,0.53399
51710000800,710,0.03251,1,0.96,0,0.08127,0,0.16193,0,0.13407,1,0.02366,0,0.29758,0,0.07781,0,0.0,1,0.55468,0,0.0,1,0.00578,1,0.00631,1,0.03102,1,0.00578,1,0.01577,1,0.0,1,0.00578,1,0.01577,1,0.0021,1,0.0,1,0.0,1,0.00751,0,0.13107,0,0.00029,0.01034,2157,1.1461,1882.04095,0.0567,0.0411,0.0,0.07895,0.69495,0.59836,0.625,0.64407,0.20106,0.25581,0.29412,0.15748,0.70554,0.54777,0.68,0.53361
51710000901,710,0.03119,1,0.97316,0,0.09828,1,0.24686,0,0.44065,0,0.04037,0,0.19594,0,0.16714,0,0.0,1,0.54018,0,0.05646,1,0.00172,1,1e-05,1,0.07468,0,0.01807,1,2e-05,1,0.0,1,0.00796,1,0.01536,1,0.02512,1,0.0,1,0.0038,1,0.02123,0,0.68498,0,0.00115,0.0,6128,3.39858,1803.10563,0.06277,0.06897,0.23529,0.0,0.48301,0.29293,0.65385,0.53448,0.26793,0.25052,0.22985,0.23809,0.65274,0.4959,0.64978,0.4927
51710000902,710,0.00924,1,0.98131,0,0.03147,1,0.17095,0,0.6877,0,0.02663,0,0.2188,0,0.16924,0,0.00146,1,0.54287,0,0.00716,1,0.00093,1,0.00392,1,0.12137,0,0.027,0,0.00199,1,0.00153,1,0.00287,1,0.01139,0,2e-05,1,0.00093,1,0.0026,1,0.07373,0,0.79599,0,0.01683,0.01763,14010,25.6539,546.11576,0.08836,0.0536,0.10551,0.14453,0.59753,0.42647,0.66419,0.51759,0.25061,0.29277,0.24204,0.24498,0.63888,0.45146,0.65155,0.45868
51710001100,710,0.0783,0,0.792,0,0.10065,0,0.23508,0,0.19522,1,0.17662,0,0.3439,0,0.04099,1,0.0,1,0.35774,0,0.02474,1,0.0,1,0.0,1,0.01013,1,0.00611,1,0.0,1,0.0,1,0.01085,1,0.16662,0,0.0,1,0.0,1,0.00564,1,0.00874,0,0.69582,0,0.00174,0.00351,2375,0.6601,3597.9594,0.09581,0.05,0.07692,0.19355,0.64079,0.47904,0.66667,0.5124,0.25148,0.29474,0.24194,0.24603,0.63929,0.45024,0.65263,0.45902
51710001200,710,0.06849,1,0.95963,0,0.04839,1,0.14102,0,0.06747,1,0.05337,0,0.1868,0,0.0976,1,0.0,1,0.57666,0,0.05226,1,3e-05,1,0.00144,1,0.02117,1,0.01854,1,8e-05,1,0.02546,1,1e-05,1,0.01685,1,0.0,1,0.00455,1,0.00216,1,0.01536,0,0.72582,0,0.01055,0.00546,3795,3.41759,1110.43178,0.09553,0.05014,0.07794,0.19165,0.63904,0.47688,0.66658,0.5126,0.25148,0.29474,0.24194,0.24603,0.63929,0.45024,0.65263,0.45902
51710001300,710,0.0,1,0.89888,0,0.13333,1,0.24144,0,0.17505,1,0.01852,1,0.49581,0,0.03774,1,0.0,1,0.38539,0,0.0,1,0.01747,1,0.0,1,0.01153,1,0.00664,1,0.0,1,0.0,1,0.00384,1,0.01468,1,0.0,1,0.0,1,0.0,1,0.01189,0,0.35611,0,0.00198,0.01012,2361,0.6559,3599.65505,0.10466,0.11905,0.06667,0.12121,0.61866,0.50909,0.51724,0.52381,0.2808,0.21053,0.1875,0.23134,0.66367,0.54598,0.64,0.52549
51710001400,710,0.02361,1,0.73546,0,0.12646,0,0.21423,0,0.11504,1,0.03614,1,0.27765,0,0.0955,0,0.00258,1,0.54056,0,0.01917,1,0.0,1,0.0,1,0.07301,1,0.00332,1,0.0,1,0.00516,1,0.02028,1,0.01069,1,0.0,1,0.0,1,0.0,1,0.01192,0,0.23198,0,0.01324,0.01415,2576,1.40246,1836.76856,0.08286,0.18605,0.0,0.12821,0.73006,0.67188,0.5,0.69643,0.25539,0.17647,0.36364,0.20301,0.73668,0.67105,0.66667,0.68912
51710001500,710,0.02216,1,0.96863,0,0.04095,1,0.08985,0,0.16696,1,0.04348,1,0.28784,0,0.07859,0,0.0,1,0.52041,0,0.00094,1,0.00796,1,2e-05,1,0.02202,1,0.02382,1,0.02196,1,0.01405,1,0.00374,1,0.01915,1,0.0,1,0.0,1,0.0,1,0.00918,0,0.26799,0,0.00377,0.00899,2044,0.95327,2144.20758,0.10459,0.11858,0.06702,0.12165,0.61875,0.5088,0.52008,0.52374,0.2808,0.21053,0.1875,0.23134,0.66367,0.54598,0.64,0.52549
