provider,lat,lon,num_stops_per_week,score
Williamsburg Area Transit Authority,37.2551,-76.73093,53.0,1.0
Williamsburg Area Transit Authority,37.28774,-76.72447,53.0,1.0
Williamsburg Area Transit Authority,37.27469,-76.72019,44.0,1.0
Williamsburg Area Transit Authority,37.27768,-76.71677,0.0,0.0
Williamsburg Area Transit Authority,37.26831,-76.71265,97.0,1.0
Williamsburg Area Transit Authority,37.28618,-76.68654,53.0,1.0
Williamsburg Area Transit Authority,37.28072,-76.68886,53.0,1.0
Williamsburg Area Transit Authority,37.28588,-76.68699,53.0,1.0
Williamsburg Area Transit Authority,37.29309,-76.72439,53.0,1.0
Williamsburg Area Transit Authority,37.28604,-76.72082,53.0,1.0
Williamsburg Area Transit Authority,37.29324,-76.72469,53.0,1.0
Williamsburg Area Transit Authority,37.2969,-76.72651,53.0,1.0
Williamsburg Area Transit Authority,37.27379,-76.71052,0.0,0.0
Williamsburg Area Transit Authority,37.27866,-76.71665,106.0,1.0
Williamsburg Area Transit Authority,37.2892,-76.72827,53.0,1.0
Williamsburg Area Transit Authority,37.28072,-76.71855,106.0,1.0
Williamsburg Area Transit Authority,37.24923,-76.68397,27.0,1.0
Williamsburg Area Transit Authority,37.26844,-76.71273,97.0,1.0
Williamsburg Area Transit Authority,37.26979,-76.70909,97.0,1.0
Williamsburg Area Transit Authority,37.281,-76.68327,53.0,1.0
Williamsburg Area Transit Authority,37.26397,-76.71835,0.0,0.0
Williamsburg Area Transit Authority,37.26206,-76.71862,0.0,0.0
Williamsburg Area Transit Authority,37.26423,-76.71918,0.0,0.0
Williamsburg Area Transit Authority,37.26784,-76.71783,44.0,1.0
Williamsburg Area Transit Authority,37.27212,-76.7192,44.0,1.0
Williamsburg Area Transit Authority,37.26765,-76.68455,53.0,1.0
Williamsburg Area Transit Authority,37.27011,-76.68767,53.0,1.0
Williamsburg Area Transit Authority,37.27771,-76.70542,106.0,1.0
Williamsburg Area Transit Authority,37.28811,-76.72726,53.0,1.0
Williamsburg Area Transit Authority,37.25488,-76.73083,53.0,1.0
Williamsburg Area Transit Authority,37.27943,-76.68999,53.0,1.0
Williamsburg Area Transit Authority,37.28088,-76.68896,53.0,1.0
Williamsburg Area Transit Authority,37.28323,-76.68438,53.0,1.0
Williamsburg Area Transit Authority,37.27925,-76.68248,53.0,1.0
Williamsburg Area Transit Authority,37.27632,-76.68105,53.0,1.0
Williamsburg Area Transit Authority,37.2761,-76.6809,53.0,1.0
Williamsburg Area Transit Authority,37.27902,-76.68231,53.0,1.0
Williamsburg Area Transit Authority,37.28174,-76.68843,53.0,1.0
Williamsburg Area Transit Authority,37.27879,-76.69836,53.0,1.0
Williamsburg Area Transit Authority,37.27753,-76.70564,106.0,1.0
Williamsburg Area Transit Authority,37.27216,-76.71328,0.0,0.0
Williamsburg Area Transit Authority,37.27319,-76.71181,106.0,1.0
Williamsburg Area Transit Authority,37.26377,-76.70536,88.0,1.0
Williamsburg Area Transit Authority,37.26753,-76.71425,97.0,1.0
Williamsburg Area Transit Authority,37.28153,-76.72173,53.0,1.0
Williamsburg Area Transit Authority,37.26639,-76.68138,53.0,1.0
Williamsburg Area Transit Authority,37.28958,-76.72235,53.0,1.0
Williamsburg Area Transit Authority,37.27859,-76.7165,106.0,1.0
Williamsburg Area Transit Authority,37.27452,-76.71359,106.0,1.0
Williamsburg Area Transit Authority,37.27377,-76.70893,159.0,2.0
Williamsburg Area Transit Authority,37.27629,-76.70813,636.0,4.0
Williamsburg Area Transit Authority,37.27138,-76.7074,159.0,2.0
Williamsburg Area Transit Authority,37.27284,-76.71138,106.0,1.0
Williamsburg Area Transit Authority,37.2808,-76.71872,106.0,1.0
Williamsburg Area Transit Authority,37.28612,-76.72118,106.0,1.0
Williamsburg Area Transit Authority,37.28987,-76.7227,53.0,1.0
Williamsburg Area Transit Authority,37.29895,-76.7275,53.0,1.0
Williamsburg Area Transit Authority,37.30568,-76.72942,53.0,1.0
Williamsburg Area Transit Authority,37.30834,-76.73057,53.0,1.0
Williamsburg Area Transit Authority,37.2702,-76.68767,53.0,1.0
Williamsburg Area Transit Authority,37.26774,-76.68454,53.0,1.0
Williamsburg Area Transit Authority,37.2667,-76.68169,53.0,1.0
Williamsburg Area Transit Authority,37.28016,-76.72328,44.0,1.0
Williamsburg Area Transit Authority,37.27866,-76.72347,44.0,1.0
Williamsburg Area Transit Authority,37.26769,-76.71765,44.0,1.0
Williamsburg Area Transit Authority,37.27199,-76.7192,44.0,1.0
Williamsburg Area Transit Authority,37.27478,-76.72024,44.0,1.0
Williamsburg Area Transit Authority,37.26901,-76.71763,44.0,1.0
Williamsburg Area Transit Authority,37.27936,-76.72453,44.0,1.0
Altamont Corridor Express,37.27641,-76.70856,38.0,1.0
